name,online_order,book_table,rate,votes,approx_cost(for two people),listed_in(type),listed_in(city),has_phone,restaurant_type,Indian_dish,Foreign_dish,Mixed_dish
New Kohinoor Hotel,No,No,3.2,9,450.0,Dine-out,Frazer Town,1,Casual Dining,1,0,0
JCL Canteen,No,No,3.691216896431196,0,100.0,Dine-out,Frazer Town,1,Mess,1,0,0
Bhartiya Jalpan,No,No,4.75,0,800.0,Dine-out,Frazer Town,1,Casual Dining,0,0,1
Malabar Kitchen,Yes,No,3.2,5,300.0,Dine-out,Frazer Town,1,Quick Bites,0,0,1
Bhagatram Sweets,No,No,3.6,223,300.0,Dine-out,Frazer Town,1,Quick Bites,0,1,0
The Chocolate Heaven,No,No,4.333333333333333,0,600.0,Dine-out,Frazer Town,1,mixed,0,1,0
Sri Saravana Bhavan,No,No,3.9,75,150.0,Dine-out,Frazer Town,1,Quick Bites,1,0,0
Burger King,Yes,No,3.9,645,600.0,Dine-out,Frazer Town,1,Quick Bites,0,1,0
Haji Ali Juice Centre,Yes,No,4.0,78,350.0,Dine-out,Frazer Town,1,mixed,0,1,0
Chickpet Donne Biryani House,Yes,No,3.7,45,250.0,Dine-out,Frazer Town,1,Quick Bites,1,0,0
Vishnu Sagar,No,No,3.0,33,400.0,Dine-out,Frazer Town,1,Quick Bites,0,0,1
McDonald's,Yes,No,2.7,92,500.0,Dine-out,Frazer Town,1,Quick Bites,0,1,0
Shivajinagar Gardi Ustad Pehlwan Kale Bhai Biryani,No,No,3.6,26,300.0,Dine-out,Frazer Town,0,Quick Bites,1,0,0
Shilpa Veg,No,No,3.6,37,250.0,Dine-out,Frazer Town,1,Quick Bites,0,0,1
Hotel Metropole,No,No,2.9,18,400.0,Dine-out,Frazer Town,1,Quick Bites,0,0,1
The Grand Taj,Yes,No,3.2,35,350.0,Dine-out,Frazer Town,1,Quick Bites,0,0,1
Ram Prasad Veg,No,No,3.6,14,150.0,Dine-out,Frazer Town,1,Quick Bites,1,0,0
North Indian Hotel,No,No,3.5,11,200.0,Dine-out,Frazer Town,1,Quick Bites,1,0,0
Royal Restaurant,No,No,3.2,7,200.0,Dine-out,Frazer Town,1,Quick Bites,0,0,1
Chaitanya Veg,Yes,No,3.2,5,300.0,Dine-out,Frazer Town,1,Quick Bites,1,0,0
Indy's Comfort Food,No,No,4.1,399,300.0,Dine-out,Frazer Town,1,Quick Bites,0,0,1
Sri Rama Coffee Shop,No,No,3.5,0,100.0,Dine-out,Frazer Town,1,Quick Bites,1,0,0
New Star Hotel,No,No,3.0,0,200.0,Dine-out,Frazer Town,1,Quick Bites,1,0,0
A1 Ambur Biryani,No,No,3.691216896431196,0,200.0,Dine-out,Frazer Town,1,Quick Bites,1,0,0
Radhika Veg Delite,No,No,2.5,0,400.0,Dine-out,Frazer Town,1,Quick Bites,1,0,0
Shilpa Vegetarian Restaurant,No,No,3.691216896431196,0,350.0,Dine-out,Frazer Town,1,Quick Bites,0,0,1
Pappu BC,No,No,4.0,0,300.0,Dine-out,Frazer Town,1,Quick Bites,1,0,0
Apsara Hotel,No,No,3.5,0,150.0,Dine-out,Frazer Town,0,Quick Bites,1,0,0
Sri Rama,No,No,3.2,4,200.0,Dine-out,Frazer Town,0,Quick Bites,1,0,0
Kabab Mela,Yes,No,5.0,0,300.0,Dine-out,Frazer Town,1,Quick Bites,0,0,1
Sri Krishna Upahar,No,No,5.0,0,200.0,Dine-out,Frazer Town,1,Quick Bites,0,0,1
Vinay Upahar,No,No,3.691216896431196,0,200.0,Dine-out,Frazer Town,1,Quick Bites,0,0,1
Maiera Siddiqha Kabab Centre,No,No,3.691216896431196,0,200.0,Dine-out,Frazer Town,1,Quick Bites,0,0,1
Vishwamitra Veg Restaurant,No,No,3.0,0,200.0,Dine-out,Frazer Town,1,Quick Bites,0,0,1
Royal Tea House,No,No,2.5,0,100.0,Dine-out,Frazer Town,1,Quick Bites,1,0,0
Ambur Hot Dum Biriyani,No,No,3.691216896431196,0,250.0,Dine-out,Frazer Town,1,Quick Bites,1,0,0
Madurai Hotel,No,No,4.0,0,150.0,Dine-out,Frazer Town,1,Quick Bites,1,0,0
Night Kitchen,No,No,3.691216896431196,0,600.0,Dine-out,Frazer Town,1,Quick Bites,0,0,1
Safa Hotel,No,No,3.5,0,200.0,Dine-out,Frazer Town,1,Quick Bites,1,0,0
Hotel New Sagar,No,No,5.0,0,300.0,Dine-out,Frazer Town,0,Quick Bites,0,0,1
K V Canteen,No,No,3.5,17,100.0,Dine-out,Frazer Town,1,Quick Bites,1,0,0
Cool Joint,No,No,3.6,25,250.0,Dine-out,Frazer Town,1,Quick Bites,0,1,0
Delhi Bhavan,No,No,3.4,11,150.0,Dine-out,Frazer Town,1,Quick Bites,0,1,0
Hotel Kanchan's Fish & Chicken,No,No,3.3,4,250.0,Dine-out,Frazer Town,1,Quick Bites,0,0,1
Sri Raghavendra Tiffin Center,No,No,3.691216896431196,0,200.0,Dine-out,Frazer Town,1,Quick Bites,1,0,0
Kanis Kitchen,No,No,3.6,14,250.0,Dine-out,Frazer Town,1,Quick Bites,1,0,0
Hotel Ashoka,No,No,3.7,10,200.0,Dine-out,Frazer Town,1,Quick Bites,1,0,0
Sagar Chats,No,No,3.8,38,300.0,Dine-out,Frazer Town,1,Quick Bites,0,1,0
Grahaira,No,No,3.691216896431196,0,300.0,Dine-out,Frazer Town,1,Quick Bites,1,0,0
Hotel Vinitha,No,No,3.2,5,150.0,Dine-out,Frazer Town,1,Quick Bites,0,0,1
Sultan Shah's Restaurant,No,No,3.2,9,200.0,Dine-out,Frazer Town,1,Quick Bites,1,0,0
Kung Foods,No,No,3.691216896431196,0,500.0,Dine-out,Frazer Town,1,Quick Bites,0,1,0
KUNG FOOD,No,No,3.691216896431196,0,400.0,Dine-out,Frazer Town,1,Quick Bites,0,1,0
New A1 Chicken Biryani Point,No,No,3.1,6,300.0,Dine-out,Frazer Town,1,Quick Bites,1,0,0
Al-Safaa Chinese Fast Food,No,No,3.691216896431196,0,250.0,Dine-out,Frazer Town,1,Quick Bites,0,1,0
MDP Coffee House,No,No,3.5,13,200.0,Dine-out,Frazer Town,1,Quick Bites,1,0,0
Bharathi Dosa Camp,No,No,3.2,7,100.0,Dine-out,Frazer Town,1,Quick Bites,1,0,0
Galaxy 2 Restaurant,No,No,3.2,4,400.0,Dine-out,Frazer Town,1,Quick Bites,0,0,1
Hammered,Yes,Yes,4.7,4678,1300.0,Dine-out,Frazer Town,1,mixed,0,0,1
Caraway Kitchen - Conrad Bengaluru,No,Yes,4.3,153,2800.0,Dine-out,Frazer Town,1,Fine Dining,0,0,1
Cafe Azzure,Yes,Yes,4.3,2671,1200.0,Dine-out,Frazer Town,1,Cafe,0,1,0
Samarkand,No,Yes,4.1,2047,1600.0,Dine-out,Frazer Town,1,Casual Dining,1,0,0
Carnatic,No,Yes,4.2,170,1000.0,Dine-out,Frazer Town,1,Casual Dining,1,0,0
1Q1,No,Yes,4.3,597,2500.0,Dine-out,Frazer Town,1,mixed,0,1,0
Tiamo - Conrad Bengaluru,No,Yes,4.2,141,2500.0,Dine-out,Frazer Town,1,Fine Dining,0,1,0
Millers 46,No,Yes,4.4,2266,1100.0,Dine-out,Frazer Town,1,Casual Dining,0,1,0
Eden Park,Yes,Yes,4.1,617,1100.0,Dine-out,Frazer Town,1,Casual Dining,0,0,1
Watson's,No,Yes,4.2,1428,1300.0,Dine-out,Frazer Town,1,Pub,0,0,1
Pasta Street,Yes,Yes,4.5,1623,1300.0,Dine-out,Frazer Town,1,Casual Dining,0,1,0
BBQ@52,No,Yes,3.7,41,1500.0,Dine-out,Frazer Town,1,Casual Dining,0,0,1
Naachiyar's,Yes,No,3.9,117,600.0,Dine-out,Frazer Town,1,Casual Dining,1,0,0
Carnival de Goa,Yes,Yes,4.2,982,1000.0,Dine-out,Frazer Town,1,mixed,0,1,0
Ente Keralam,Yes,No,4.0,1098,1300.0,Dine-out,Frazer Town,1,Casual Dining,0,0,1
The Culinarium,No,No,4.0,25,1100.0,Dine-out,Frazer Town,1,mixed,0,1,0
Dolci Desserts,Yes,No,4.3,654,750.0,Dine-out,Frazer Town,1,mixed,0,1,0
Republic Of Noodles - Lemon Tree Premier,No,Yes,4.5,550,1800.0,Dine-out,Frazer Town,1,Casual Dining,0,1,0
Cafe Kaara,No,No,4.2,164,750.0,Dine-out,Frazer Town,1,Cafe,0,1,0
Skoolroom,Yes,No,4.3,570,700.0,Dine-out,Frazer Town,1,Cafe,0,1,0
Benjarong,Yes,No,4.2,858,1800.0,Dine-out,Frazer Town,1,Casual Dining,0,1,0
Mikusu - Conrad Bengaluru,No,Yes,4.1,80,3000.0,Dine-out,Frazer Town,1,Fine Dining,0,1,0
Skylit - Citrus Hotels,No,Yes,4.0,324,1300.0,Dine-out,Frazer Town,1,Lounge,0,0,1
Banjara Melting Pot,Yes,Yes,4.2,475,1700.0,Dine-out,Frazer Town,1,Casual Dining,0,0,1
Step Right Up,Yes,No,4.1,153,300.0,Dine-out,Frazer Town,1,Cafe,0,1,0
Slo' Food Co.2,No,No,3.7,42,2000.0,Dine-out,Frazer Town,1,Casual Dining,0,0,1
Shezan,Yes,No,4.1,391,600.0,Dine-out,Frazer Town,1,Casual Dining,0,0,1
The Grill House,Yes,Yes,4.1,765,1200.0,Dine-out,Frazer Town,1,mixed,0,1,0
Infinitea Tea Room & Tea Store,Yes,Yes,4.3,860,1000.0,Dine-out,Frazer Town,1,mixed,0,1,0
Mudpipe Cafe,Yes,No,4.2,740,750.0,Dine-out,Frazer Town,1,Cafe,0,1,0
Xpress Biryani,Yes,No,4.3,148,650.0,Dine-out,Frazer Town,1,Casual Dining,1,0,0
Teppan Japanese Grill & Sushi Bar,Yes,No,4.3,904,2000.0,Dine-out,Frazer Town,1,Casual Dining,0,1,0
Indian Durbar - Conrad Bengaluru,No,Yes,3.9,49,3000.0,Dine-out,Frazer Town,1,Fine Dining,1,0,0
Ging - Royal Orchid Central,Yes,Yes,4.3,226,2000.0,Dine-out,Frazer Town,1,mixed,0,1,0
Mani's Dum Biryani,Yes,No,4.0,176,750.0,Dine-out,Frazer Town,1,Casual Dining,1,0,0
Urban Solace - CafÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂ© for the Soul,Yes,No,3.9,462,800.0,Dine-out,Frazer Town,1,mixed,0,1,0
Smally's Resto Cafe,Yes,Yes,4.1,1852,650.0,Dine-out,Frazer Town,1,Cafe,0,1,0
Peppa Zzing,Yes,No,4.3,1133,800.0,Dine-out,Frazer Town,1,Cafe,0,1,0
Citrus Cafe - Lemon Tree Premier,No,No,3.9,183,2200.0,Dine-out,Frazer Town,1,Casual Dining,0,0,1
Cafe Imroze,Yes,No,3.6,95,650.0,Dine-out,Frazer Town,1,mixed,0,1,0
Ramana's,Yes,Yes,4.0,378,850.0,Dine-out,Frazer Town,1,Casual Dining,0,0,1
The Souk,Yes,No,3.7,66,800.0,Dine-out,Frazer Town,1,Cafe,0,1,0
Marzipan Cafe & Bakery,Yes,No,4.2,432,700.0,Dine-out,Frazer Town,1,mixed,0,1,0
Red Lantern,Yes,No,3.7,161,700.0,Dine-out,Frazer Town,1,Casual Dining,0,1,0
Cafe Cassia& Deli,No,No,4.2,115,1000.0,Dine-out,Frazer Town,1,mixed,0,1,0
WYT RestroPub,No,No,2.7,402,1000.0,Dine-out,Frazer Town,1,Pub,0,0,1
Chung's Chinese Corner,Yes,No,3.3,200,700.0,Dine-out,Frazer Town,1,Casual Dining,0,1,0
Ta'aam,Yes,No,4.1,402,750.0,Dine-out,Frazer Town,1,Casual Dining,0,0,1
Zodiac - Fortune Select JP Cosmos Hotel,Yes,Yes,3.8,91,1800.0,Dine-out,Frazer Town,1,Casual Dining,0,0,1
Vijaya Gardenia,Yes,No,3.4,63,500.0,Dine-out,Frazer Town,1,Casual Dining,0,0,1
Hotel Chandrika,Yes,No,3.8,207,400.0,Dine-out,Frazer Town,1,Casual Dining,0,0,1
Sagar Delicacy,Yes,No,3.9,87,500.0,Dine-out,Frazer Town,1,Casual Dining,0,0,1
Pinxx - Royal Orchid Central,Yes,Yes,3.8,198,1600.0,Dine-out,Frazer Town,1,Casual Dining,0,1,0
New Prashanth Naati Style,No,No,3.8,29,400.0,Dine-out,Frazer Town,1,Quick Bites,1,0,0
CAMP TANDOOR,Yes,No,3.7,15,300.0,Dine-out,Frazer Town,1,Quick Bites,1,0,0
Bangalore Masala House,Yes,No,4.2,255,500.0,Dine-out,Frazer Town,1,Cafe,0,1,0
Amritsari Kulcha Bite,Yes,No,3.9,104,150.0,Dine-out,Frazer Town,1,Quick Bites,1,0,0
Retreat Restaurant,Yes,No,3.5,86,500.0,Dine-out,Frazer Town,1,Casual Dining,0,0,1
Maratha Darshan,No,No,4.0,107,400.0,Dine-out,Frazer Town,1,Quick Bites,1,0,0
Slounge - Lemon Tree Premier,No,No,4.0,62,1500.0,Dine-out,Frazer Town,1,Lounge,0,1,0
A2B - Adyar Ananda Bhavan,Yes,No,3.6,42,400.0,Dine-out,Frazer Town,1,Casual Dining,0,0,1
Shanthi Sagar,Yes,No,4.1,205,250.0,Dine-out,Frazer Town,1,Quick Bites,0,0,1
Al-Baik Tandoori Restaurant,Yes,No,3.6,113,450.0,Dine-out,Frazer Town,1,Quick Bites,0,0,1
Hotel Fine,Yes,No,3.5,24,450.0,Dine-out,Frazer Town,1,Casual Dining,0,0,1
Moto Store & CafÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂ©,Yes,No,4.2,382,500.0,Dine-out,Frazer Town,1,Cafe,0,1,0
Hatti Kaapi,Yes,No,3.8,31,200.0,Dine-out,Frazer Town,1,Quick Bites,0,0,1
Grand Spicy Restaurant,No,No,3.6,34,700.0,Dine-out,Frazer Town,1,Casual Dining,0,0,1
Chetty's Coffee,Yes,No,3.7,18,200.0,Dine-out,Frazer Town,1,Quick Bites,1,0,0
Knowhere,No,No,3.8,52,1300.0,Dine-out,Frazer Town,1,Bar,0,1,0
Ujwal Restaurant,Yes,No,3.9,134,550.0,Dine-out,Frazer Town,1,Casual Dining,0,0,1
Xian,Yes,Yes,3.8,81,800.0,Dine-out,Frazer Town,1,Casual Dining,0,1,0
Soul Cafe,No,Yes,3.9,315,800.0,Dine-out,Frazer Town,1,Cafe,0,1,0
Vijayalaxmi Veg,Yes,No,5.0,0,200.0,Dine-out,Frazer Town,1,Quick Bites,0,0,1
Gobble Up Churros Cafe,Yes,No,3.8,37,400.0,Dine-out,Frazer Town,1,Casual Dining,0,1,0
Bangalore Shadi Biriyani,Yes,No,3.5,57,150.0,Dine-out,Frazer Town,1,Quick Bites,0,0,1
The Lobby Brew - Conrad Bengaluru,No,Yes,3.8,25,2200.0,Dine-out,Frazer Town,1,Cafe,0,0,1
Upsouth,Yes,No,3.8,51,300.0,Dine-out,Frazer Town,1,Food Court,1,0,0
The Wok Shop,Yes,No,3.4,7,500.0,Dine-out,Frazer Town,1,Quick Bites,0,1,0
Cafe Nibras,No,No,3.4,10,400.0,Dine-out,Frazer Town,1,Cafe,0,1,0
Chels Cafe,Yes,No,3.5,20,500.0,Dine-out,Frazer Town,1,Cafe,0,1,0
Fish Factory-Citrus Hotel,No,Yes,3.9,39,2600.0,Dine-out,Frazer Town,1,Fine Dining,0,1,0
Sanman Veg,No,No,3.5,13,250.0,Dine-out,Frazer Town,0,Quick Bites,0,0,1
Shawarma Time,Yes,No,3.7,80,300.0,Dine-out,Frazer Town,1,Quick Bites,0,1,0
California Burrito,No,No,4.0,53,400.0,Dine-out,Frazer Town,1,Quick Bites,0,1,0
Ramji Chaiwale,Yes,No,3.7,43,250.0,Dine-out,Frazer Town,1,Quick Bites,0,1,0
24 Carats - The Capitol,No,No,3.1,46,1000.0,Dine-out,Frazer Town,1,Casual Dining,0,1,0
BanBay,No,No,4.0,44,1100.0,Dine-out,Frazer Town,1,Cafe,0,1,0
Cafe Cerrise,Yes,No,3.8,96,600.0,Dine-out,Frazer Town,1,Cafe,0,1,0
Rolls On Wheels,No,No,3.7,61,200.0,Dine-out,Frazer Town,1,Quick Bites,0,1,0
Al-Baik Kabab Centre,No,No,3.857142857142857,0,300.0,Dine-out,Frazer Town,1,Quick Bites,0,0,1
Cafe Monarch Luxur,No,No,3.8,23,800.0,Dine-out,Frazer Town,1,Casual Dining,0,0,1
The Sanctuary,No,No,3.9,61,450.0,Dine-out,Frazer Town,1,Cafe,0,1,0
Arya Bhavan Sweets,Yes,No,3.2,9,300.0,Dine-out,Frazer Town,1,mixed,0,0,1
BISO - Citrus Hotels,No,Yes,3.9,158,1100.0,Dine-out,Frazer Town,1,Casual Dining,0,0,1
Bazaar- Zone By The Park,No,Yes,3.8,52,1100.0,Dine-out,Frazer Town,1,Casual Dining,0,0,1
Samrudh Veg,No,No,3.6,11,200.0,Dine-out,Frazer Town,1,Quick Bites,0,0,1
Chai Point,No,No,3.8,149,250.0,Dine-out,Frazer Town,1,mixed,0,1,0
Cafe Jezve,Yes,No,3.8,18,500.0,Dine-out,Frazer Town,1,Cafe,0,1,0
North Se South Veg & Non-Veg Restaurants,Yes,No,3.6,17,250.0,Dine-out,Frazer Town,1,Quick Bites,0,0,1
Hotel Zam Zam,Yes,No,3.1,30,300.0,Dine-out,Frazer Town,1,Quick Bites,0,0,1
Calcutta Chats,No,No,3.6,13,200.0,Dine-out,Frazer Town,1,Quick Bites,1,0,0
Biryani Paradise,No,No,3.691216896431196,0,200.0,Dine-out,Frazer Town,1,Quick Bites,0,0,1
Aishwarya Uphar,No,No,3.691216896431196,0,150.0,Dine-out,Frazer Town,1,Quick Bites,1,0,0
Irene's Cafe & Deli - Citrus Hotels,No,No,3.691216896431196,0,1000.0,Dine-out,Frazer Town,1,Cafe,0,1,0
Bearys Restaurant,No,No,3.3,6,450.0,Dine-out,Frazer Town,1,Casual Dining,1,0,0
Niranthara,Yes,No,3.691216896431196,0,600.0,Dine-out,Frazer Town,1,Casual Dining,1,0,0
Mummy Dhaba,Yes,No,3.2,46,300.0,Dine-out,Frazer Town,1,Quick Bites,1,0,0
Chaithanya Andhra Style Family Restaurant,No,No,3.2,4,600.0,Dine-out,Frazer Town,1,Casual Dining,0,0,1
Unicorn Bar & Restaurant,No,No,3.9,119,800.0,Dine-out,Frazer Town,1,mixed,0,0,1
New Kadai,No,No,3.3,18,400.0,Dine-out,Frazer Town,1,Quick Bites,0,0,1
Roll Junction,Yes,No,2.9,56,150.0,Dine-out,Frazer Town,1,Quick Bites,0,1,0
Khally Wally,No,No,3.0,0,250.0,Dine-out,Frazer Town,1,Quick Bites,1,0,0
Donne Biryani Hatti,Yes,No,3.6,27,300.0,Dine-out,Frazer Town,1,Quick Bites,1,0,0
Nostradamus Bar & Lounge,No,No,3.6,14,1500.0,Dine-out,Frazer Town,1,Bar,0,0,1
Dasaprakash Cafe,No,No,3.1,10,400.0,Dine-out,Frazer Town,1,Cafe,0,1,0
Little Paramount Restaurants,No,No,3.6,32,400.0,Dine-out,Frazer Town,1,Quick Bites,1,0,0
WOW! Momo,Yes,No,2.8,40,400.0,Dine-out,Frazer Town,1,Food Court,0,1,0
Container Coffee,Yes,No,4.0,0,200.0,Dine-out,Frazer Town,1,Quick Bites,1,0,0
Food Corner,No,No,3.3,7,250.0,Dine-out,Frazer Town,1,Quick Bites,0,0,1
Ahmed Biriyani Corner,No,No,3.691216896431196,0,200.0,Dine-out,Frazer Town,1,Quick Bites,1,0,0
Bismillah Ambur Biryani,No,No,5.0,0,300.0,Dine-out,Frazer Town,1,Quick Bites,0,0,1
Cafe Mingo?s,No,No,3.3,4,200.0,Dine-out,Frazer Town,1,Quick Bites,0,1,0
Bismillah Hotel,No,No,3.691216896431196,0,250.0,Dine-out,Frazer Town,1,Quick Bites,1,0,0
Happie Hippies,No,No,5.0,0,500.0,Dine-out,Frazer Town,1,Quick Bites,0,1,0
Akshaya Sambrama Veg Restaurant,No,No,3.2,13,200.0,Dine-out,Frazer Town,1,Quick Bites,0,0,1
Meat And Eat,Yes,No,3.3,33,500.0,Dine-out,Frazer Town,1,Quick Bites,0,1,0
Luqma Restaurant,Yes,No,3.5,18,550.0,Dine-out,Frazer Town,1,Quick Bites,0,0,1
Tasty King,Yes,No,3.4,8,400.0,Dine-out,Frazer Town,1,Quick Bites,0,0,1
Just Bake,Yes,No,3.4,24,400.0,Dine-out,Frazer Town,1,mixed,0,1,0
Lemon Rice,No,No,3.4,12,100.0,Dine-out,Frazer Town,1,Quick Bites,1,0,0
Bhaiyaji Food Court,No,No,3.3,6,300.0,Dine-out,Frazer Town,1,Quick Bites,0,0,1
AAR Chinese And Grill Food Truck,No,No,3.691216896431196,0,200.0,Dine-out,Frazer Town,1,Food Truck,0,1,0
Tindipotha,No,No,3.691216896431196,0,300.0,Dine-out,Frazer Town,1,Quick Bites,0,0,1
Coastal Creek,No,No,3.3,13,600.0,Dine-out,Frazer Town,1,Casual Dining,0,0,1
Bilal Kabab Corner,No,No,3.691216896431196,0,300.0,Dine-out,Frazer Town,1,Quick Bites,0,0,1
Bawarchy Hotel,No,No,3.691216896431196,0,300.0,Dine-out,Frazer Town,1,Quick Bites,1,0,0
Jai Karnataka Biryani Paradise,No,No,3.5,0,150.0,Dine-out,Frazer Town,1,Quick Bites,1,0,0
Lakshmi Hotel,No,No,3.5,0,300.0,Dine-out,Frazer Town,1,Quick Bites,1,0,0
Bismillah Royal Taj Hotel,No,No,3.691216896431196,0,200.0,Dine-out,Frazer Town,1,Quick Bites,1,0,0
Sri Sai Sagar Food,No,No,3.691216896431196,0,300.0,Dine-out,Frazer Town,1,Quick Bites,0,0,1
Ahmed's,No,No,3.691216896431196,0,200.0,Dine-out,Frazer Town,1,Quick Bites,1,0,0
Hariharan Tiffen Centre,No,No,3.691216896431196,0,200.0,Dine-out,Frazer Town,1,Quick Bites,1,0,0
The Taste Adda,No,No,3.691216896431196,0,200.0,Dine-out,Frazer Town,1,Quick Bites,0,0,1
Am On Restaurant Family Dine,No,No,3.691216896431196,0,200.0,Dine-out,Frazer Town,1,Quick Bites,0,0,1
Homely Kitchen,Yes,No,3.691216896431196,0,300.0,Dine-out,Frazer Town,1,mixed,0,0,1
Shahee,No,No,3.5,0,200.0,Dine-out,Frazer Town,1,Quick Bites,1,0,0
Bhavani Military Hotel,Yes,No,3.691216896431196,0,300.0,Dine-out,Frazer Town,1,Quick Bites,0,0,1
Srinidhi Real Food,No,No,3.6,27,200.0,Dine-out,Frazer Town,1,Quick Bites,0,0,1
Kerala Foods,No,No,3.5,10,250.0,Dine-out,Frazer Town,1,Quick Bites,1,0,0
Udupas Veg Restaurant,No,No,3.2,11,300.0,Dine-out,Frazer Town,1,Quick Bites,1,0,0
Sangam Kabab Corner,No,No,3.1,4,300.0,Dine-out,Frazer Town,1,Quick Bites,0,0,1
The Lassi Park,No,No,3.3,4,200.0,Dine-out,Frazer Town,1,Quick Bites,0,1,0
Queens Food Corner,No,No,3.1,11,200.0,Dine-out,Frazer Town,1,Quick Bites,1,0,0
Ambur Hot Dum Biryani,No,No,3.1,6,250.0,Dine-out,Frazer Town,1,Quick Bites,1,0,0
Sona Chicken Kabab,No,No,3.2,4,200.0,Dine-out,Frazer Town,1,Quick Bites,1,0,0
Spicy Restaurant,No,No,3.0,25,400.0,Dine-out,Frazer Town,1,Quick Bites,0,0,1
Calcutta Chats,No,No,3.5,17,200.0,Dine-out,Frazer Town,1,Quick Bites,0,0,1
Om Ganesha Juice Centre,No,No,3.691216896431196,0,100.0,Dine-out,Frazer Town,0,Quick Bites,0,1,0
Goli Vada Pav NO.1,No,No,3.4,7,200.0,Dine-out,Frazer Town,1,Quick Bites,0,1,0
Hotel New Karthik,No,No,3.691216896431196,0,300.0,Dine-out,Frazer Town,1,Quick Bites,1,0,0
Feel The Taste,No,No,3.691216896431196,0,300.0,Dine-out,Frazer Town,1,Quick Bites,0,1,0
Vinus Foods,No,No,3.691216896431196,0,300.0,Dine-out,Frazer Town,1,Quick Bites,1,0,0
Best Biryani,No,No,1.0,0,300.0,Dine-out,Frazer Town,1,Quick Bites,1,0,0
Arham's Resto,No,No,3.691216896431196,0,250.0,Dine-out,Frazer Town,1,Quick Bites,0,0,1
Kerala Food,No,No,3.691216896431196,0,200.0,Dine-out,Frazer Town,1,Quick Bites,0,0,1
Pai Vihar,Yes,No,2.8,56,400.0,Dine-out,Frazer Town,1,Quick Bites,0,0,1
BIB-Breakfast In The Box,Yes,No,3.691216896431196,0,600.0,Dine-out,Frazer Town,1,Quick Bites,0,1,0
Sri Ayodhya Veg,No,No,3.6,24,300.0,Dine-out,Frazer Town,1,Quick Bites,0,0,1
M9 - Citrus Hotels,No,No,3.1,10,800.0,Dine-out,Frazer Town,1,Casual Dining,0,0,1
Sherlock's Pub,No,No,4.0,580,1500.0,Drinks & nightlife,Frazer Town,1,mixed,0,0,1
Gallops,No,No,3.6,31,1400.0,Drinks & nightlife,Frazer Town,1,Lounge,0,0,1
MM Bar & Restaurant,No,No,3.4,6,700.0,Drinks & nightlife,Frazer Town,1,Bar,1,0,0
Hammered,Yes,Yes,4.7,4678,1300.0,Drinks & nightlife,Frazer Town,1,mixed,0,0,1
1Q1,No,Yes,4.3,597,2500.0,Drinks & nightlife,Frazer Town,1,mixed,0,1,0
Watson's,No,Yes,4.2,1428,1300.0,Drinks & nightlife,Frazer Town,1,Pub,0,0,1
Skylit - Citrus Hotels,No,Yes,4.0,324,1300.0,Drinks & nightlife,Frazer Town,1,Lounge,0,0,1
WYT RestroPub,No,No,2.7,402,1000.0,Drinks & nightlife,Frazer Town,1,Pub,0,0,1
Slounge - Lemon Tree Premier,No,No,4.0,62,1500.0,Drinks & nightlife,Frazer Town,1,Lounge,0,1,0
Knowhere,No,No,3.8,52,1300.0,Drinks & nightlife,Frazer Town,1,Bar,0,1,0
Nostradamus Bar & Lounge,No,No,3.6,14,1500.0,Drinks & nightlife,Frazer Town,1,Bar,0,0,1
Sherlock's Pub,No,No,4.0,580,1500.0,Pubs and bars,Frazer Town,1,mixed,0,0,1
Dolphin Bar,No,No,3.8,61,1000.0,Pubs and bars,Frazer Town,1,mixed,0,0,1
Tiger Trail - Ramada Hotel,Yes,Yes,4.0,188,1300.0,Pubs and bars,Frazer Town,1,mixed,1,0,0
MM Bar & Restaurant,No,No,3.4,6,700.0,Pubs and bars,Frazer Town,1,Bar,1,0,0
Hammered,Yes,Yes,4.7,4678,1300.0,Pubs and bars,Frazer Town,1,mixed,0,0,1
1Q1,No,Yes,4.3,597,2500.0,Pubs and bars,Frazer Town,1,mixed,0,1,0
Watson's,No,Yes,4.2,1428,1300.0,Pubs and bars,Frazer Town,1,Pub,0,0,1
Carnival de Goa,Yes,Yes,4.2,982,1000.0,Pubs and bars,Frazer Town,1,mixed,0,1,0
The Grill House,Yes,Yes,4.1,765,1200.0,Pubs and bars,Frazer Town,1,mixed,0,1,0
Ging - Royal Orchid Central,Yes,Yes,4.3,226,2000.0,Pubs and bars,Frazer Town,1,mixed,0,1,0
WYT RestroPub,No,No,2.7,402,1000.0,Pubs and bars,Frazer Town,1,Pub,0,0,1
Knowhere,No,No,3.8,52,1300.0,Pubs and bars,Frazer Town,1,Bar,0,1,0
The Brew Witch Club,No,No,3.691216896431196,0,1000.0,Pubs and bars,Frazer Town,1,mixed,0,1,0
Z-Bar,No,No,3.691216896431196,0,1500.0,Pubs and bars,Frazer Town,1,mixed,0,0,1
Nostradamus Bar & Lounge,No,No,3.6,14,1500.0,Pubs and bars,Frazer Town,1,Bar,0,0,1
Roof Top Gastro Bar,No,No,3.691216896431196,0,2000.0,Pubs and bars,Frazer Town,0,Bar,0,1,0
The Fisherman's Wharf,Yes,Yes,4.4,4108,1400.0,Buffet,HSR,1,mixed,0,0,1
